x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
1771.35416615801,1374.06103174295,60.5131850466132,-159.801311431603,0.001360523197387,0,0,0,0,0
1771.25583538413,1374.0244887853,60.5098866997287,-159.781091324098,0.354525902056653,0,3,0,0,0
1771.15346849931,1373.98540772032,60.5075471093878,-159.791139738127,0.567457918293185,0,3,0,0,0
1771.05488376826,1373.94916228671,60.5057605309412,-159.758728077549,0.747061932467799,0,3,0,0,0
1770.94563311269,1373.90734259505,60.5035262005404,-159.787186129611,0.922803393572372,0,3,0,0,0
1770.83458852541,1373.86546138674,60.503334405832,-159.802238664726,1.05838111438393,0,3,0,0,0
1770.72990735358,1373.82621175144,60.5040928367525,-159.799110788823,1.16469687582646,0,3,0,0,0
1770.61334206123,1373.7820076542,60.5043935487047,-159.820720169679,1.30493741865601,0,3,0,0,0
1770.51248189999,1373.74372532591,60.5044326325879,-159.840540948841,1.39598801380204,0,3,0,0,0
1770.40458885953,1373.70363290608,60.5042248861864,-159.852138021178,1.48268256565498,0,3,0,0,0
1770.28994855605,1373.66159480251,60.5035184724256,-159.876031643158,1.56750362783714,0,3,0,0,0
1770.16903221002,1373.61755249277,60.5027281716466,-159.891493336062,1.64998298467359,0,3,0,0,0
1770.07453130744,1373.58220014628,60.5021409671754,-159.914061729411,1.71418745052958,0,3,0,0,0
1769.97685166961,1373.54509967472,60.5012581422925,-159.946530534097,1.76852773253362,0,3,0,0,0
1769.87657271535,1373.50672349613,60.5006910637021,-159.975792475331,1.80862046531181,0,3,0,0,0
1769.77400872309,1373.46758768708,60.5012535983697,-159.993552821806,1.85060121525722,0,3,0,0,0
1769.66895961494,1373.42837625835,60.5025228420273,-159.997534261394,1.88702548483527,0,3,0,0,0
1769.56131125661,1373.38934697676,60.5044842036441,-159.999557346021,1.93155558563126,0,3,0,0,0
1769.45131877542,1373.3499469962,60.5062588332221,-160.01232672584,1.9685994521909,0,3,0,0,0
1769.33922196715,1373.30935470574,60.5071267150342,-160.048088755507,2.00691382094922,0,3,0,0,0
1769.22514305997,1373.26765871514,60.506312600337,-160.082619111924,2.04219507948156,0,3,0,0,0
1769.10972054466,1373.22553801257,60.5049978606403,-160.091593703024,2.05524310410608,0,3,0,0,0
1768.99352749187,1373.18276424147,60.5047315564007,-160.104828697711,2.07215105799914,0,3,0,0,0
1768.87642979965,1373.13865739759,60.5059135388583,-160.125945038249,2.09589242234552,0,3,0,0,0
1768.75796491018,1373.09398164786,60.5085694305599,-160.153506226659,2.12372145903245,0,3,0,0,0
1768.63760891004,1373.04952758644,60.5114649031311,-160.172772108992,2.15531990186377,0,3,0,0,0
1768.51524182665,1373.0054671457,60.5131602874026,-160.182133943236,2.18532759228327,0,3,0,0,0
1768.39105275995,1372.96100986283,60.5128653421998,-160.198688971403,2.21297230306789,0,3,0,0,0
1768.2653496975,1372.91582849715,60.5106901470572,-160.226715763276,2.24060505922205,0,3,0,0,0
1768.13795766415,1372.87002901174,60.5073782159016,-160.260060125106,2.2727208973743,0,3,0,0,0
1768.00882691809,1372.82325750869,60.5040279049426,-160.291617525253,2.30357475878809,0,3,0,0,0
1767.87833839859,1372.775626068,60.5017589228228,-160.327621148565,2.32732976331465,0,3,0,0,0
1767.74609200668,1372.72775026411,60.501100987196,-160.358025900486,2.3601711987268,0,3,0,0,0
1767.61230532231,1372.67940350994,60.5018265573308,-160.380829402636,2.38338382666147,0,3,0,0,0
1767.47725327685,1372.63009850681,60.5031504807994,-160.404697424081,2.40812902768848,0,3,0,0,0
1767.34053777106,1372.58038372267,60.5041384948418,-160.430484328293,2.43866081369775,0,3,0,0,0
1767.20230650844,1372.53048183396,60.5048002162948,-160.453004282631,2.46548147766268,0,3,0,0,0
1767.06248949177,1372.48004616331,60.504692860879,-160.48045616257,2.49158986022769,0,3,0,0,0
1766.96841558482,1372.44610484969,60.5040472839028,-160.494315562199,2.50986728595184,0,3,0,0,0
1766.87368063547,1372.41209848691,60.5029949806631,-160.503724975708,2.52346056519992,0,3,0,0,0
1766.77836161666,1372.37798493356,60.501984979026,-160.509710928983,2.54103135094705,0,3,0,0,0
1766.6825067426,1372.34353768174,60.5010581267998,-160.52209109044,2.553979909704,0,3,0,0,0
1766.58622162271,1372.30888359901,60.5006305966526,-160.534275440703,2.56784288413399,0,3,0,0,0
1766.48948919104,1372.27406144887,60.5006683953106,-160.54499057418,2.57590360759553,0,3,0,0,0
1766.3924535719,1372.23913409933,60.5015000840649,-160.545508386631,2.58800481672034,0,3,0,0,0
1766.29488730954,1372.20430245157,60.5029398379847,-160.537684525887,2.59765255692858,0,3,0,0,0
1766.19675377512,1372.16955015529,60.5043068481609,-160.521345444298,2.61173771846699,0,3,0,0,0
1766.09820205084,1372.13480396383,60.5054681235924,-160.499221848214,2.61782378701691,0,3,0,0,0
1765.99931150838,1372.09982072003,60.50620863121,-160.475078232517,2.6279631540912,0,3,0,0,0
1765.89989671076,1372.06434988324,60.506351005286,-160.455337449725,2.64820385120241,0,3,0,0,0
1765.80001809273,1372.02829290554,60.5057315016165,-160.439822624816,2.66318106372081,0,3,0,0,0
1765.69994451152,1371.99189602025,60.5048153763637,-160.427677627543,2.67081855963987,0,3,0,0,0
1765.59944570699,1371.95529332943,60.5038230679929,-160.415868488955,2.67756168050593,0,3,0,0,0
1765.49835936702,1371.91844009608,60.5024349838495,-160.400977162332,2.70082882982653,0,3,0,0,0
1765.39678906009,1371.88150850777,60.5007994314656,-160.383832059696,2.70903258996348,0,3,0,0,0
1765.29479277966,1371.84466355946,60.4993239566684,-160.357497920479,2.71766993892163,0,3,0,0,0
1765.1924158606,1371.80784069095,60.4982642969117,-160.334869580032,2.72428529340504,0,3,0,0,0
1765.08966820646,1371.77081761509,60.4976182570681,-160.312390257526,2.7308161337064,0,3,0,0,0
1764.98639910319,1371.73345852364,60.4975936748087,-160.295552256736,2.75451326746926,0,3,0,0,0
1764.88320438599,1371.69598157611,60.4982199817896,-160.283102192894,2.74857280001844,0,3,0,0,0
1764.77958886593,1371.65825772099,60.4995338991284,-160.271259419637,2.75565550537632,0,3,0,0,0
1764.67569000699,1371.62016846798,60.5010104263201,-160.266108131708,2.77309554883411,0,3,0,0,0
1764.57145837549,1371.58209325001,60.5025440305471,-160.253135908598,2.78194718694036,0,3,0,0,0
1764.46693691844,1371.54367470834,60.5036909151822,-160.246112766226,2.78770811154591,0,3,0,0,0
1764.36182723846,1371.50494922698,60.5043868068606,-160.235144039405,2.80811854872879,0,3,0,0,0
1764.25621835759,1371.46614907496,60.5044143628329,-160.216584502167,2.82129865910385,0,3,0,0,0
1764.15008358628,1371.42728398275,60.5037629585713,-160.192424845015,2.83150054310708,0,3,0,0,0
1764.04352616105,1371.38830022234,60.5027721915394,-160.164602918928,2.84353643187611,0,3,0,0,0
