scenario_name,ade_score,ade_rating,fde_score,fde_rating,collision_score,collision_rating,max_deceleration,max_deceleration_rating
objects_behind_01,4.69,SUCCESS,20.24,FAILURE,0.26,FAILURE,6.2,FAILURE
objects_behind_02,6.06,SUCCESS,12.27,FAILURE,0.29,FAILURE,3.34,FAILURE
objects_behind_03,3.52,SUCCESS,5.91,SUCCESS,0.02,FAILURE,1.51,FAILURE
objects_behind_04,7.66,SUCCESS,30.09,FAILURE,0.12,FAILURE,5.31,FAILURE
objects_behind_05,2.76,SUCCESS,7.13,SUCCESS,0.2,FAILURE,4.08,FAILURE
objects_behind_06,30.13,FAILURE,47.78,FAILURE,0.21,FAILURE,5.74,FAILURE
AVERAGE,9.14,0.83,20.57,0.33,0.18,0.00,4.36,0.00
