x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
1771.4989950888,1373.95536352694,60.5314877424389,-159.298623981188,0.002085952271067,0,0,0,0,0
1770.54609073349,1373.57894359902,60.5167538505048,-159.119069584568,1.54423777424309,0,3,0,0,0
1769.60761825024,1373.2133949073,60.513281638734,-158.996886532814,2.18966045663141,0,3,0,0,0
1768.65511824138,1372.83805615082,60.5188612667844,-159.007555381361,2.6885941878209,0,3,0,0,0
1767.68706668232,1372.45299195871,60.5057795839384,-158.940934866105,3.09774505164255,0,3,0,0,0
1766.70963508211,1372.0706249522,60.505855361931,-158.843815041232,3.45524929751281,0,3,0,0,0
1765.76713244466,1371.702308245,60.4959949096665,-158.680155761351,3.7610146637113,0,3,0,0,0
1764.83164210868,1371.32086910866,60.5106455963105,-158.690589358251,4.0115774136197,0,3,0,0,0
1763.83340386738,1370.92143396661,60.5025209262967,-158.544472431207,4.24794540760183,0,3,0,0,0
1762.86488783045,1370.53311917838,60.4937358619645,-158.378742468355,4.4466207467811,0,3,0,0,0
1761.86181544524,1370.12173428666,60.4902118742466,-158.328299690422,4.60508013784928,0,3,0,0,0
1760.91205091396,1369.73755027913,60.4875772977248,-158.302900635295,4.71507722103657,0,3,0,0,0
1759.93872632366,1369.34106234368,60.4882394596934,-158.297245091539,4.83386004574324,0,3,0,0,0
1758.94553185109,1368.93711837195,60.491603047587,-158.296360350833,4.92017802326656,0,3,0,0,0
1757.93229425448,1368.52840421721,60.4876755848527,-158.335066277176,5.01365017797702,0,3,0,0,0
1756.9983563195,1368.14607335813,60.4822482168675,-158.344969940797,5.08032023075065,0,3,0,0,0
1756.05407681019,1367.7650558576,60.4842669526115,-158.242190382951,5.09810338569429,0,3,0,0,0
1755.11231000442,1367.38239027746,60.4771961215883,-158.222090167262,5.07664711380941,0,3,0,0,0
1754.17676650244,1366.99994621053,60.4651579400525,-158.232231655279,5.02805611756156,0,3,0,0,0
1753.16262698185,1366.57706330996,60.4694863026962,-158.227734914843,4.95918087584191,0,3,0,0,0
1752.15628462017,1366.17317233048,60.4707351038232,-158.13070040078,4.88676229619347,0,3,0,0,0
1751.17232545256,1365.76257345174,60.4707679999992,-158.292518207419,4.81301802997782,0,3,0,0,0
1750.20000906871,1365.36301383842,60.4680134123191,-158.265448500384,4.75051615030133,0,3,0,0,0
1749.23788689671,1364.97473687958,60.4597055856138,-158.278911323724,4.68460395409981,0,3,0,0,0
1748.29314566625,1364.59019228444,60.4580790139735,-158.302296821049,4.56651854308213,0,3,0,0,0
1747.2892704726,1364.18876467831,60.4480542968959,-158.369140300172,4.43811147250982,0,2,0,0,0
1746.32482587203,1363.79177996051,60.4453737074509,-158.396790030954,4.25893358845609,0,2,0,0,0
1745.32517409587,1363.40424246527,60.4743160037324,-158.313402764497,3.99614011279934,0,2,0,0,0
1744.39475258382,1363.02663175203,60.492704231292,-158.31550252307,3.76435060998644,0,2,0,0,0
1743.44475726091,1362.6391996704,60.4613523427397,-158.077204220042,3.56827386717173,0,2,0,0,0
1742.47155749827,1362.24568487797,60.469863015227,-158.121903222102,3.42416525250816,0,2,0,0,0
1741.53927162796,1361.86972485296,60.457725385204,-158.001818171817,3.28390925087468,0,2,0,0,0
1740.59158559568,1361.47163060214,60.4550545159727,-158.066801740982,3.14686303221824,0,2,0,0,0
1739.61788041022,1361.08097615559,60.431378419511,-158.066217850108,3.02069950254371,0,2,0,0,0
1738.69004068314,1360.70337811112,60.4322842424735,-158.221008894378,2.85989966519096,0,2,0,0,0
1737.72756374045,1360.31734593119,60.4228548472747,-159.097669249237,2.60284769580013,0,2,0,0,0
1736.78126543248,1359.96894975472,60.4198168218136,-161.605045110917,2.46690831394102,0,2,0,0,0
1735.81475558149,1359.67084797844,60.4242473328486,-165.904033648294,2.35022393899865,0,2,0,0,0
1734.8354929284,1359.45938503556,60.4267699625343,-172.364754750519,2.19359911604998,0,2,0,0,0
1733.80877506064,1359.38182230108,60.4219301026315,178.52339124145,2.12685569518329,0,2,0,0,0
1732.80542095931,1359.47191816382,60.4245826574042,169.039104221612,2.22988095922671,0,2,0,0,0
1731.83351699635,1359.71789982915,60.4306301595643,159.48824226661,2.28397803081271,0,2,0,0,0
1730.88971577201,1360.13965014368,60.4235330801457,150.083690760045,2.39914805728022,0,2,0,0,0
1730.01027359237,1360.71617805678,60.4081484787166,141.864500827034,2.58202316533387,0,2,0,0,0
1729.217964118,1361.38251165207,60.4183171344921,135.689125717984,2.82747558814304,0,2,0,0,0
1728.51829462644,1362.10033101868,60.4343288354576,130.661238630037,3.04996641354868,0,3,0,0,0
1727.87796275975,1362.8798082117,60.4437551992014,126.019976975186,3.22157306491461,0,3,0,0,0
1727.26926199498,1363.74871922843,60.4456548579037,121.746131214113,3.3959260947634,0,3,0,0,0
1726.73194517638,1364.65548831411,60.4556945189834,118.653337241499,3.59993857543431,0,3,0,0,0
1726.2369887497,1365.57615683693,60.4691651221365,116.642016529208,3.83150854507543,0,3,0,0,0
1725.78012910741,1366.49338844977,60.4758758926764,115.238687519242,4.01311908906954,0,3,0,0,0
1725.32532603788,1367.4637210751,60.4971809536219,113.995454413385,4.20118038189464,0,3,0,0,0
1724.90720242547,1368.40459112544,60.5016978178173,112.830051398851,4.36346830575644,0,3,0,0,0
1724.49685646745,1369.38821996003,60.5212841350585,111.873696416424,4.51534807893389,0,3,0,0,0
1724.11834026856,1370.32477720268,60.5311629455537,111.264396908378,4.66411142006922,0,3,0,0,0
