x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
10878.101590346778,11294.99360072054,60.172837637364864,-155.55352901493328,11.170324262222044,0,3,0,0,0
10877.092344027245,11294.522137850523,60.177103931084275,-155.53736419192415,11.166016628111432,0,3,0,0,0
10876.082971804542,11294.049761910923,60.18102767691016,-155.54195828496478,11.168361842872706,0,3,0,0,0
10875.073423013673,11293.575752645731,60.17277060076594,-155.56517465034005,11.178261021814757,0,3,0,0,0
10874.062698180904,11293.102015109733,60.15712687373161,-155.56412729255135,11.191087811534452,0,3,0,0,0
10873.050850934931,11292.627458862029,60.13736020680517,-155.49258630469578,11.204028170120951,0,3,0,0,0
10872.038091636263,11292.152396423742,60.117183497175574,-155.41473148876173,11.21512535491917,0,3,0,0,0
10871.025072782999,11291.676576852798,60.09798205643892,-155.3313691874271,11.222379010612674,0,3,0,0,0
10870.012152734795,11291.198799720965,60.08154421672225,-155.25536016501545,11.232830823255618,0,3,0,0,0
10868.999015121371,11290.7202880783,60.067695134319365,-155.12448174685738,11.216697457242361,0,3,0,0,0
10867.98600840778,11290.239883978851,60.05598442815244,-155.0001308650166,11.235010027070695,0,3,0,0,0
10866.97461957403,11289.755482250825,60.04279208742082,-154.9006776999453,11.241756396945501,0,3,0,0,0
10865.963686008006,11289.26901020296,60.023508720099926,-154.82067716583643,11.242970184383465,0,3,0,0,0
10864.952920912998,11288.781030926853,60.002813935279846,-154.7893827991558,11.248756061863627,0,3,0,0,0
10863.942603311036,11288.290819464251,59.9785120934248,-154.7928108145697,11.256597274861383,0,3,0,0,0
10862.930447060266,11287.802173355594,59.94907594751567,-154.7136152443824,11.265729303160638,0,3,0,0,0
10861.917663654429,11287.314102751203,59.92433257866651,-154.61982271767607,11.264411710387053,0,3,0,0,0
10860.907679356402,11286.822228566743,59.90742821525782,-154.59078521603283,11.246581820671196,0,3,0,0,0
10859.899224617984,11286.328667318448,59.89385018311441,-154.6004346170449,11.248697597442835,0,3,0,0,0
10858.891066342243,11285.836130904965,59.87923915497959,-154.64452681418553,11.236210272299779,0,3,0,0,0
10857.884402520489,11285.344427905977,59.86740433052182,-154.69239201679946,11.221737776043032,0,3,0,0,0
10856.877745515201,11284.85439135693,59.85168069507927,-154.7641258043622,11.21066100983819,0,3,0,0,0
