x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
10931.188049514429,11323.058622033335,60.499951244331896,-158.06106764895648,0.0075176869735710024,0,3,0,0,0
10930.263006969704,11322.664459115826,60.48958974611014,-152.20949690955814,1.3190453429587157,0,1,0,0,0
10929.383249636856,11322.158518414013,60.475654397159815,-147.53351543670425,1.8989003278704208,0,1,0,0,0
10928.541835791431,11321.595924485475,60.45676529593766,-145.18764316555874,2.3371369690347277,0,3,0,0,0
10927.72655058233,11321.016233227216,60.445084758102894,-145.12113864671718,2.6822485212582587,0,3,0,0,0
10926.894705732237,11320.435558214784,60.4303676802665,-146.07058053944755,2.96024418049605,0,3,0,0,0
10926.024468434043,11319.854109266773,60.433133696205914,-147.5044685475718,3.2128126804294554,0,3,0,0,0
10925.126473529264,11319.2845762847,60.42888975981623,-148.76787495232256,3.4474836048117514,0,3,0,0,0
10924.211945106508,11318.736734518781,60.4230775218457,-149.93992842642274,3.6614822162796887,0,3,0,0,0
10923.29863278335,11318.212668075226,60.419192870147526,-150.93860384393963,3.860485211574373,0,3,0,0,0
10922.401104011456,11317.71457690373,60.40879190620035,-151.78571354210837,4.035127145837632,0,3,0,0,0
10921.454741880763,11317.210148421116,60.407839288935065,-152.37659825516587,4.211545474762473,0,3,0,0,0
10920.542192854802,11316.732338051312,60.40282886661589,-152.8853541187778,4.365767368186278,0,3,0,0,0
10919.592238903977,11316.248098907061,60.40215707663447,-153.3464128574147,4.516487599895045,0,3,0,0,0
10918.69070127746,11315.795285136439,60.39084797818214,-153.62759771488143,4.643776827268621,0,3,0,0,0
10917.764019217342,11315.333998419344,60.38080382812768,-153.96213372331354,4.754058059120886,0,3,0,0,0
10916.813510264154,11314.87051929161,60.369735307991505,-154.24955531294418,4.850614577964592,0,3,0,0,0
10915.845041223336,11314.40116132237,60.3648938909173,-154.49309539336707,4.930673753987688,0,3,0,0,0
10914.859106923337,11313.929542851634,60.360910434275866,-154.55731215966293,4.996459013939588,0,3,0,0,0
10913.953000594745,11313.495029333048,60.36243784241378,-154.53766914248374,5.048727833812375,0,3,0,0,0
