x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
1341.3388794477796,2414.7368552749977,60.403236714191735,157.18278418349888,10.392724005627079,0,3,0,0,0
1339.4351933155558,2415.5299821272492,60.386803100816905,157.13274703037598,10.246660603174835,0,3,0,0,0
1337.5609421327827,2416.3143140347674,60.36756844352931,157.0335994666487,10.084457790869898,0,3,0,0,0
1335.7168677264708,2417.0892928279936,60.361355542205274,156.9248480850688,9.924126527481393,0,3,0,0,0
1333.726372716308,2417.929064663127,60.3554868651554,156.7467633025835,9.724702872378359,0,3,0,0,0
1331.781568105158,2418.7589516714215,60.3409730726853,156.48840247131542,9.490466476900268,0,3,0,0,0
1329.8870813550893,2419.578082434833,60.32397584337741,156.1452903430389,9.266781239535312,0,3,0,0,0
1328.0475882634637,2420.385634224862,60.318639824166894,155.73247868322392,9.003305295648822,0,3,0,0,0
1326.1098398505128,2421.2512849299237,60.32173463329673,155.21674992175548,8.692221460803946,0,3,0,0,0
1324.2524129404337,2422.1074916906655,60.3216022439301,154.65188684821365,8.359894244367874,0,3,0,0,0
1322.3369006321882,2423.0171623211354,60.323454370722175,153.99553479012334,7.9523329147814055,0,3,0,0,0
1320.5318493559607,2423.9001353243366,60.32012794353068,153.1435185844838,7.510860708932074,0,3,0,0,0
1318.7210969057633,2424.8248716471717,60.31941736675799,152.01674920822333,7.021467275881151,0,3,0,0,0
1316.9371508125914,2425.7846132442355,60.31962343212217,150.6588308116519,6.49236951963064,0,3,0,0,0
1315.111874856695,2426.8319186149165,60.31937277596444,149.02652848952135,5.887401920606914,0,3,0,0,0
1313.403422760195,2427.875107003376,60.3177513666451,147.18595057503478,5.237534145817914,0,3,0,0,0
1311.7041911493288,2429.005194936879,60.318917414173484,144.94091604737582,4.484886366841104,0,3,0,0,0
1310.0602703577606,2430.1982510704547,60.313000191003084,142.35438815546135,3.65512395354755,0,3,0,0,0
1308.4894471677253,2431.458631452173,60.31329473480582,139.6149274904604,2.6440024734430496,0,3,0,0,0
1306.9902933923877,2432.786223690957,60.3062879871577,136.73196295751836,1.0172283111775071,0,3,0,0,0
1305.5454211088363,2434.2042433088645,60.28794077038765,133.3512400818186,1.3922851667121274,0,3,0,0,0
1304.1775199384429,2435.7395267812535,60.29136407375336,128.63614074795598,2.9421601399434243,0,3,0,0,0
1302.9772500711842,2437.350670450367,60.31444557290524,123.51032564014263,3.981412224470324,0,3,0,0,0
1301.92042712291,2439.0581754408777,60.370093662291765,118.45767158306136,4.748472319377968,0,3,0,0,0
1301.003205337096,2440.8738306583837,60.411934613250196,113.96834567617675,5.37901842137534,0,3,0,0,0
1300.2233742334647,2442.742101266049,60.45051007717848,110.53522541815245,5.813815263910167,0,3,0,0,0
1299.5344329475774,2444.6687654582784,60.47922257706523,108.20584585712675,6.192097897651148,0,3,0,0,0
1298.9105910770595,2446.617491154,60.498073955997825,107.51910562466728,6.543790900595038,0,3,0,0,0
1298.2964053170872,2448.525395348668,60.5164000056684,108.4496620201632,6.734038370773106,0,3,0,0,0
1297.6299029419315,2450.4477326991037,60.52640076447278,110.35106809587505,6.794593396596281,0,3,0,0,0
1296.8833214450278,2452.3570219455287,60.53572495933622,113.06719651093958,6.848412810093386,0,3,0,0,0
1296.0277723910986,2454.2350098285824,60.545622969046235,116.64462703220093,6.883815220637994,0,3,0,0,0
1295.0446989533375,2456.062254776247,60.552339910529554,120.95572222959665,6.922426542335425,0,3,0,0,0
1293.9174055950134,2457.807068786584,60.560861855745316,125.67436570058618,6.9228996089041,0,3,0,0,0
1292.653901521815,2459.450204066932,60.561588927172124,130.71335794854073,6.901372958913728,0,3,0,0,0
1291.249541019788,2460.969224962406,60.5643990682438,135.82825833848946,6.8949047417670855,0,3,0,0,0
1289.7169495918788,2462.35121311713,60.55895162187517,141.11308805047065,6.877395819338469,0,3,0,0,0
